2018年布鲁斯·威利斯动作《猛龙怪客》BD中英双字幕,"日期：2018-05-25 14:13:15 
点击：0 ","猛龙怪客][BD-mkv.720p.中英双字][2018年布鲁斯威利斯动作] ◎译 名 猛龙怪客 ◎片 名 Death Wish ◎年 代 2018 ◎产 地 美国 ◎类 别 动作/犯罪/惊悚 ◎语 言 英语 ◎字 幕 中英双字幕 ◎上映日期 2018-03-02(美国) ◎IMDb评分 6.5/10 from 9,818 users ◎豆瓣评分 7.1"
电影名称,发布时间及点击量,简介
2018年惊悚恐怖《寂静之地》HD韩版中英双字幕,"日期：2018-05-22 23:02:54 
点击：0 ",寂静之地]HD-rmvb.720p.韩版中英双字][2018年惊悚恐怖] ◎译 名 寂静之地/无声绝境(港) ◎片 名 A Quiet Place ◎年 代 2018 ◎产 地 美国 ◎类 别 惊悚/恐怖 ◎语 言 英语/美国手语 ◎字 幕 中英双字幕 ◎上映日期 2018-03-09(西南偏南电影节)/2018-04-06(美国)/2018-0
电影名称,发布时间及点击量,简介
2018年奇幻《西游记女儿国》BD国粤双语中字,"日期：2018-05-20 19:27:21 
点击：0 ",西游记女儿国][BD-mkv.720p.国粤双语中字][2018年奇幻] ◎译 名 The Monkey King 3: Kingdom of Women ◎片 名 西游记女儿国/西游记女儿国/西游记之女儿国 ◎年 代 2018 ◎产 地 中国/中国香港 ◎类 别 喜剧/爱情/奇幻 ◎语 言 粤语/国语 ◎字 幕 中文 ◎上映日期 2018-
电影名称,发布时间及点击量,简介
2018年悬疑《暴裂无声》HD国语中英双字,"日期：2018-05-19 01:06:57 
点击：0 ",暴裂无声][HD-mp4.1080p.国语中英双字][2018年悬疑] ◎译 名 Villain / Wrath of Silence ◎片 名 暴裂无声/恶人/寻山/山野追踪 ◎年 代 2017 ◎产 地 中国 ◎类 别 剧情/犯罪/悬疑 ◎语 言 普通话 ◎字 幕 中英双字幕 ◎上映日期 2017-07-27(FIRST青年影展)/2018-04-04
电影名称,发布时间及点击量,简介
2018年科幻动作《环太平洋：雷霆再起》BD中英双字幕,"日期：2018-05-17 23:23:13 
点击：0 ",环太平洋：雷霆再起][HD-rmvb.720p. 中英双字][2018年科幻动作] ◎译 名 环太平洋：雷霆再起/环太平洋2/环太平洋2：雷霆再起/环太平洋2：起义时刻(台)/悍战太平洋2：起义时空(港)/环太平洋2：崛起/环太平洋2：漩涡 ◎片 名 Pacific Rim: Maelstrom / Pacific Rim 2 ◎年
电影名称,发布时间及点击量,简介
2018年悬疑喜剧《游戏之夜》BD中英双字幕,"日期：2018-05-16 13:28:31 
点击：0 ","游戏之夜][BD-mkv.720p.中英双字][2018年悬疑喜剧] ◎译 名 游戏之夜/游戏夜杀必死(台) ◎片 名 Game Night ◎年 代 2018 ◎产 地 美国 ◎类 别 喜剧/犯罪/悬疑 ◎语 言 英语 ◎字 幕 中英双字幕 ◎上映日期 2018-02-23(美国) ◎IMDb评分 7.1/10 from 50,576 users ◎"
电影名称,发布时间及点击量,简介
2017年爱情喜剧《天生不对》BD国粤双语中字,"日期：2018-05-14 22:34:04 
点击：0 ",天生不对][BD-mkv.720p.国粤双语中字][2017年爱情喜剧] ◎译 名 Perfect Couple ◎片 名 天生不对 ◎年 代 2017 ◎产 地 中国 ◎类 别 喜剧/爱情 ◎语 言 粤语/国语 ◎字 幕 中文 ◎文件格式 x264 + aac ◎视频尺寸 1280 x 720 ◎文件大� �1CD ◎片 长 99分钟 ◎导 演
电影名称,发布时间及点击量,简介
2017年马特·达蒙悬疑《迷镇凶案》BD国英双语双字幕,"日期：2018-05-13 22:31:48 
点击：0 ",迷镇凶案][BD-mkv.720p.国英双语双字][2017年马特达蒙悬疑] ◎译 名 迷镇凶案/完美社区谋杀案(台)/坚离地死人劫案(港)/迷镇/小镇郊区 ◎片 名 Suburbicon ◎年 代 2017 ◎产 地 美国/英国 ◎类 别 喜剧/犯罪/悬疑 ◎语 言 英语/国语 ◎字 幕 中英双字幕 ◎上映日期 2017
电影名称,发布时间及点击量,简介
2018年悬疑惊悚《红雀/红雀特工》BD中英双字幕,"日期：2018-05-09 19:15:16 
点击：0 ",红雀/红雀特工][BD-mkv.720p.中英双字][2018年悬疑惊悚] ◎译 名 红雀/红雀特工(港)/红色麻雀/红燕子/红麻雀/朱雀 ◎片 名 Red Sparrow ◎年 代 2018 ◎产 地 美国 ◎类 别 剧情/悬疑/惊悚 ◎语 言 英语/俄语 ◎字 幕 中英双字幕 ◎上映日期 2018-03-02(美国) ◎IMDb评
电影名称,发布时间及点击量,简介
2018年科幻动作《头号玩家/玩家一号》HD韩语中字,"日期：2018-05-09 14:08:53 
点击：0 ",头号玩家/玩家一号][HD-rmvb.720p.韩版中字][2018年科幻动作] ◎译 名 头号玩家/玩家一号 ◎片 名 Ready Player One ◎年 代 2018 ◎产 地 美国 ◎类 别 动作/科幻/冒险 ◎语 言 英语/日语/普通话 ◎字 幕 中文 ◎上映日期 2018-03-11(西南偏南电影节)/2018-03-29(美国)
电影名称,发布时间及点击量,简介
2018年喜剧《闺蜜2：无二不作》BD国语中字,"日期：2018-05-08 10:29:05 
点击：0 ",闺蜜2：无二不作][BD-mkv.720p.国语中字][2018年喜剧] ◎译 名 闺蜜2/闺蜜2：无二不作/闺蜜2：单挑越南黑帮 ◎片 名 Girls 2 / Girls VS Gangsters ◎年 代 2018 ◎产 地 中国香港/中国 ◎类 别 剧情/喜剧 ◎语 言 普通话 ◎字 幕 中文 ◎上映日期 2018-03-02(中国) ◎I
电影名称,发布时间及点击量,简介
2018年奥斯卡最佳外语片《普通女人》HD中英双字幕,"日期：2018-05-04 20:02:52 
点击：0 ",普通女人][HD-mkv.720p.中英双字][2018年奥斯卡最佳外语片] ◎译 名 普通女人/不思议女人(台)/神奇女郎(港)/好女人/奇妙女人 ◎片 名 Una mujer fantstica ◎年 代 2017 ◎产 地 智利/德国/西班牙/美国 ◎类 别 剧情/同性 ◎语 言 西班牙语 ◎字 幕 中英双字幕 ◎上映日
电影名称,发布时间及点击量,简介
2018年纪录片《厉害了，我的国》HD国语中字,"日期：2018-05-03 14:37:19 
点击：0 ",厉害了，我的国][HD-mkv.720p.国语中字][2018年纪录片] ◎译 名 Amazing China ◎片 名 厉害了，我的国 ◎年 代 2018 ◎产 地 中国 ◎类 别 纪录片 ◎语 言 普通话 ◎字 幕 中文 ◎文件格式 x264 + aac ◎视频尺寸 1280 x 720 ◎文件大� �1CD ◎上映日期 2018-03-02(中
电影名称,发布时间及点击量,简介
2018年科幻动作《黑豹》BD中英双字幕,"日期：2018-05-02 17:47:39 
点击：0 ","黑豹][BD-mkv.720p.中英双字][2018年科幻动作] ◎译 名 黑豹 ◎片 名 Black Panther ◎年 代 2018 ◎产 地 美国 ◎类 别 动作/科幻/冒险 ◎语 言 英语/韩语 ◎字 幕 中英双字幕 ◎上映日期 2018-02-16(美国)/2018-03-09(中国) ◎IMDb评分 7.7/10 from 243,346 users ◎"
